ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,リス,4067,○,○,りす,○,,,,51,3
1,2,GPT-1,リス,す,スイカ,3417,○,○,すいか,○,,,,51,3
1,3,GPT-1,スイカ,か,カメラ,2352,○,○,かめら,○,,,,51,3
1,4,GPT-2,カメラ,ら,ラッパ,3492,○,○,らっぱ,○,,,,51,3
1,5,GPT-2,ラッパ,ぱ,パパ,5022,○,○,ぱぱ,○,,,,51,3
1,6,GPT-1,パパ,ぱ,パイプ,3014,○,○,ぱいぷ,○,,,,51,3
1,7,GPT-2,パイプ,ぷ,プラグ,4608,○,○,ぷらぐ,○,,,,51,3
1,8,GPT-2,プラグ,ぐ,グラフ,6353,○,○,ぐらふ,○,,,,51,3
1,9,GPT-2,グラフ,ふ,ふぐ,4099,○,○,ふぐ,○,,,,51,3
1,10,GPT-1,ふぐ,ぐ,グミ,1778,○,○,ぐみ,○,,,,51,3
1,11,GPT-1,グミ,み,みぞ,5718,○,○,みぞ,○,,,,51,3
1,12,GPT-2,みぞ,ぞ,象,2033,○,○,ぞう,○,,,,51,3
1,13,GPT-2,象,う,うつぼ,6718,○,○,うつぼ,○,,,,51,3
1,14,GPT-2,うつぼ,ぼ,帽子,2972,○,○,ぼうし,○,,,,51,3
1,15,GPT-1,帽子,し,椎茸,4826,○,○,しいたけ,○,,,,51,3
1,16,GPT-1,椎茸,け,毛玉,7678,○,○,けだま,○,,,,51,3
1,17,GPT-1,毛玉,ま,まゆ,5148,○,○,まゆ,○,,,,51,3
1,18,GPT-2,まゆ,ゆ,床,1650,○,○,ゆか,○,,,,51,3
1,19,GPT-2,床,か,かぼちゃ,6412,○,○,かぼちゃ,○,,,,51,3
1,20,GPT-2,かぼちゃ,や,やぎ,6083,○,○,やぎ,○,,,,51,3
1,21,GPT-1,やぎ,ぎ,義足,1959,○,○,ぎそく,○,,,,51,3
1,22,GPT-1,義足,く,くず,6548,○,○,くず,○,,,,51,3
1,23,GPT-1,くず,ず,図形,3396,○,○,ずけい,○,,,,51,3
1,24,GPT-2,図形,い,色,4313,○,○,いろ,○,,,,51,3
1,25,GPT-2,色,ろ,ろうそく,2033,○,○,ろうそく,○,,,,51,3
1,26,GPT-2,ろうそく,く,くじら,2690,○,○,くじら,○,,,,51,3
1,27,GPT-1,くじら,ら,ラジオ,1546,○,○,らじお,○,,,,51,3
1,28,GPT-1,ラジオ,お,おこげ,5019,○,×,,×,辞書外,GPT-2,GPT-1,51,3
2,1,GPT-1,しりとり,り,りんご,1890,○,○,りんご,○,,,,51,3
2,2,GPT-1,りんご,ご,ごま,2436,○,○,ごま,○,,,,51,3
2,3,GPT-1,ごま,ま,まくら,2181,○,○,まくら,○,,,,51,3
2,4,GPT-2,まくら,ら,ラッパ,1825,○,○,らっぱ,○,,,,51,3
2,5,GPT-1,ラッパ,ぱ,パンダ,2042,○,○,ぱんだ,○,,,,51,3
2,6,GPT-1,パンダ,だ,大学,5052,○,○,だいがく,○,,,,51,3
2,7,GPT-1,大学,く,n,1555,×,×,,×,辞書外,GPT-2,GPT-1,51,3
3,1,GPT-1,しりとり,り,りんご,3917,○,○,りんご,○,,,,51,3
3,2,GPT-1,りんご,ご,ゴリラ,1947,○,○,ごりら,○,,,,51,3
3,3,GPT-1,ゴリラ,ら,ラジオ,2227,○,○,らじお,○,,,,51,3
3,4,GPT-2,ラジオ,お,おひつ,4330,○,×,,×,辞書外,GPT-1,GPT-2,51,3
4,1,GPT-1,しりとり,り,りんご,2974,○,○,りんご,○,,,,51,3
4,2,GPT-1,りんご,ご,ごきぶり,4643,○,○,ごきぶり,○,,,,51,3
4,3,GPT-2,ごきぶり,り,りす,1947,○,○,りす,○,,,,51,3
4,4,GPT-2,りす,す,スイカ,1492,○,○,すいか,○,,,,51,3
4,5,GPT-2,スイカ,か,n,1245,×,×,,×,辞書外,GPT-1,GPT-2,51,3
5,1,GPT-1,しりとり,り,りんご,1547,○,○,りんご,○,,,,51,3
5,2,GPT-1,りんご,ご,ごま,3028,○,○,ごま,○,,,,51,3
5,3,GPT-1,ごま,ま,まくら,1326,○,○,まくら,○,,,,51,3
5,4,GPT-2,まくら,ら,ラッパ,3997,○,○,らっぱ,○,,,,51,3
5,5,GPT-2,ラッパ,ぱ,パンダ,1782,○,○,ぱんだ,○,,,,51,3
5,6,GPT-2,パンダ,だ,n,1843,×,×,,×,辞書外,GPT-1,GPT-2,51,3
6,1,GPT-1,しりとり,り,リュック,4463,○,○,りゅっく,○,,,,51,3
6,2,GPT-1,リュック,く,くじ,4446,○,○,くじ,○,,,,51,3
6,3,GPT-1,くじ,じ,磁石,2663,○,○,じしゃく,○,,,,51,3
6,4,GPT-2,磁石,く,クワガタ,3171,○,○,くわがた,○,,,,51,3
6,5,GPT-2,クワガタ,た,たこ,5688,○,○,たこ,○,,,,51,3
6,6,GPT-2,たこ,こ,こま,1888,○,○,こま,○,,,,51,3
6,7,GPT-1,こま,ま,まくら,3686,○,○,まくら,○,,,,51,3
6,8,GPT-1,まくら,ら,ラップ,4470,○,○,らっぷ,○,,,,51,3
6,9,GPT-2,ラップ,ぷ,プール,3269,○,○,ぷーる,○,,,,51,3
6,10,GPT-2,プール,る,ルビー,2309,○,○,るびー,○,,,,51,3
6,11,GPT-2,ルビー,い,椅子,2251,○,○,いす,○,,,,51,3
6,12,GPT-1,椅子,す,スープ,4502,○,○,すーぷ,○,,,,51,3
6,13,GPT-1,スープ,ぷ,プラモデル,3428,○,○,ぷらもでる,○,,,,51,3
6,14,GPT-2,プラモデル,る,留守,3779,○,○,るす,○,,,,51,3
6,15,GPT-2,留守,す,スイカ,5120,○,○,すいか,○,,,,51,3
6,16,GPT-2,スイカ,か,かさ,4622,○,○,かさ,○,,,,51,3
6,17,GPT-1,かさ,さ,さくら,4694,○,○,さくら,○,,,,51,3
6,18,GPT-1,さくら,ら,ラジオ,1576,○,○,らじお,○,,,,51,3
6,19,GPT-1,ラジオ,お,おにぎり,1641,○,○,おにぎり,○,,,,51,3
6,20,GPT-2,おにぎり,り,りんご,3283,○,○,りんご,○,,,,51,3
6,21,GPT-2,りんご,ご,ごま,2696,○,○,ごま,○,,,,51,3
6,22,GPT-2,ごま,ま,祭り,1738,○,○,まつり,○,,,,51,3
6,23,GPT-1,祭り,り,リス,1948,○,○,りす,○,,,,51,3
6,24,GPT-1,リス,す,すずめ,5656,○,○,すずめ,○,,,,51,3
6,25,GPT-1,すずめ,め,めがね,2101,○,○,めがね,○,,,,51,3
6,26,GPT-2,めがね,ね,寝袋,3505,○,○,ねぶくろ,○,,,,51,3
6,27,GPT-2,寝袋,ろ,ロープ,5112,○,○,ろーぷ,○,,,,51,3
6,28,GPT-1,ロープ,ぷ,プラグ,2202,○,○,ぷらぐ,○,,,,51,3
6,29,GPT-2,プラグ,ぐ,グラス,1535,○,○,ぐらす,○,,,,51,3
6,30,GPT-2,グラス,す,スリッパ,5504,○,○,すりっぱ,○,,,,51,3
6,31,GPT-2,スリッパ,ぱ,パジャマ,2322,○,○,ぱじゃま,○,,,,51,3
6,32,GPT-1,パジャマ,ま,まゆ,4232,○,○,まゆ,○,,,,51,3
6,33,GPT-1,まゆ,ゆ,ゆず,3361,○,○,ゆず,○,,,,51,3
6,34,GPT-2,ゆず,ず,図工,3223,○,○,ずこう,○,,,,51,3
6,35,GPT-2,図工,う,うち,7781,○,○,うち,○,,,,51,3
6,36,GPT-2,うち,ち,地図,1721,○,○,ちず,○,,,,51,3
6,37,GPT-1,地図,ず,ズッキーニ,3206,○,○,ずっきーに,○,,,,51,3
6,38,GPT-1,ズッキーニ,に,肉,4863,○,○,にく,○,,,,51,3
6,39,GPT-1,肉,く,くじら,2189,○,○,くじら,○,,,,51,3
6,40,GPT-2,くじら,ら,ラクダ,6530,○,○,らくだ,○,,,,51,3
6,41,GPT-2,ラクダ,だ,台座,5217,○,○,だいざ,○,,,,51,3
6,42,GPT-1,台座,ざ,雑誌,4276,○,○,ざっし,○,,,,51,3
6,43,GPT-1,雑誌,し,しっぽ,7282,○,○,しっぽ,○,,,,51,3
6,44,GPT-1,しっぽ,ぽ,ポスト,1942,○,○,ぽすと,○,,,,51,3
6,45,GPT-2,ポスト,と,時計,2308,○,○,とけい,○,,,,51,3
6,46,GPT-2,時計,い,いちご,2886,○,○,いちご,○,,,,51,3
6,47,GPT-2,いちご,ご,ごぼう,3479,○,○,ごぼう,○,,,,51,3
6,48,GPT-1,ごぼう,う,うずら,3995,○,○,うずら,○,,,,51,3
6,49,GPT-1,うずら,ら,ラベル,5113,○,○,らべる,○,,,,51,3
6,50,GPT-1,ラベル,る,ルーペ,2864,○,○,るーぺ,○,,,,51,3
6,51,GPT-2,ルーペ,ぺ,ペット,7268,○,○,ぺっと,○,,,,51,3
6,52,GPT-2,ペット,と,とんぼ,6043,○,○,とんぼ,○,,,,51,3
6,53,GPT-2,とんぼ,ぼ,帽子,1847,○,○,ぼうし,○,,,,51,3
6,54,GPT-1,帽子,し,しずく,5929,○,○,しずく,○,,,,51,3
6,55,GPT-1,しずく,く,靴,4636,○,○,くつ,○,,,,51,3
6,56,GPT-1,靴,つ,机,2121,○,○,つくえ,○,,,,51,3
6,57,GPT-2,机,え,鉛筆,3816,○,○,えんぴつ,○,,,,51,3
6,58,GPT-2,鉛筆,つ,つみき,5120,○,×,,×,辞書外,GPT-1,GPT-2,51,3
7,1,GPT-1,しりとり,り,りす,2641,○,○,りす,○,,,,51,3
7,2,GPT-1,りす,す,スイカ,1941,○,○,すいか,○,,,,51,3
7,3,GPT-1,スイカ,か,カメラ,2847,○,○,かめら,○,,,,51,3
7,4,GPT-2,カメラ,ら,ラッパ,3240,○,○,らっぱ,○,,,,51,3
7,5,GPT-2,ラッパ,ぱ,パンダ,5431,○,○,ぱんだ,○,,,,51,3
7,6,GPT-2,パンダ,だ,大学,3378,○,○,だいがく,○,,,,51,3
7,7,GPT-1,大学,く,くじら,7350,○,○,くじら,○,,,,51,3
7,8,GPT-1,くじら,ら,ラジオ,2047,○,○,らじお,○,,,,51,3
7,9,GPT-1,ラジオ,お,おおかみ,2288,○,○,おおかみ,○,,,,51,3
7,10,GPT-2,おおかみ,み,湖,3688,○,○,みずうみ,○,,,,51,3
7,11,GPT-2,湖,み,水,3111,○,○,みず,○,,,,51,3
7,12,GPT-1,水,ず,ずいき,7866,○,○,ずいき,○,,,,51,3
7,13,GPT-1,ずいき,き,きのこ,4200,○,○,きのこ,○,,,,51,3
7,14,GPT-1,きのこ,こ,こいぬ,5976,○,○,こいぬ,○,,,,51,3
7,15,GPT-2,こいぬ,ぬ,ぬま,4517,○,○,ぬま,○,,,,51,3
