ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,2819,○,○,りんご,○,,,,11,3
1,2,GPT-1,りんご,ご,ごま,1585,○,○,ごま,○,,,,11,3
1,3,GPT-1,ごま,ま,まくら,1652,○,○,まくら,○,,,,11,3
1,4,GPT-2,まくら,ら,ラッパ,1774,○,○,らっぱ,○,,,,11,3
1,5,GPT-2,ラッパ,ぱ,パンダ,1698,○,○,ぱんだ,○,,,,11,3
1,6,GPT-2,パンダ,だ,台所,1757,○,○,だいどころ,○,,,,11,3
1,7,GPT-1,台所,ろ,ろうそく,1443,○,○,ろうそく,○,,,,11,3
1,8,GPT-1,ろうそく,く,くじら,1900,○,○,くじら,○,,,,11,3
1,9,GPT-2,くじら,ら,ラジオ,1799,○,○,らじお,○,,,,11,3
1,10,GPT-2,ラジオ,お,おにぎり,1512,○,○,おにぎり,○,,,,11,3
1,11,GPT-2,おにぎり,り,リス,1564,○,○,りす,○,,,,11,3
1,12,GPT-1,リス,す,スイカ,1886,○,○,すいか,○,,,,11,3
1,13,GPT-1,スイカ,か,かさ,1541,○,○,かさ,○,,,,11,3
1,14,GPT-1,かさ,さ,桜,1754,○,○,さくら,○,,,,11,3
1,15,GPT-2,桜,ら,ラッコ,1826,○,○,らっこ,○,,,,11,3
1,16,GPT-2,ラッコ,こ,こたつ,1329,○,○,こたつ,○,,,,11,3
1,17,GPT-2,こたつ,つ,つくえ,1417,○,○,つくえ,○,,,,11,3
1,18,GPT-1,つくえ,え,鉛筆,1752,○,○,えんぴつ,○,,,,11,3
1,19,GPT-1,鉛筆,つ,つばめ,1822,○,○,つばめ,○,,,,11,3
1,20,GPT-1,つばめ,め,めがね,1861,○,○,めがね,○,,,,11,3
1,21,GPT-2,めがね,ね,ねこ,2427,○,○,ねこ,○,,,,11,3
1,22,GPT-2,ねこ,こ,こま,1910,○,○,こま,○,,,,11,3
1,23,GPT-2,こま,ま,まつり,1339,○,○,まつり,○,,,,11,3
1,24,GPT-1,まつり,り,料理,2447,○,○,りょうり,○,,,,11,3
1,25,GPT-1,料理,り,理科,2468,○,○,りか,○,,,,11,3
1,26,GPT-1,理科,か,家具,1768,○,○,かぐ,○,,,,11,3
1,27,GPT-2,家具,ぐ,グミ,1597,○,○,ぐみ,○,,,,11,3
1,28,GPT-2,グミ,み,みみ,2658,○,○,みみ,○,,,,11,3
1,29,GPT-2,みみ,み,水,2193,○,○,みず,○,,,,11,3
1,30,GPT-1,水,ず,頭痛,3201,○,○,ずつう,○,,,,11,3
1,31,GPT-1,頭痛,う,うさぎ,1957,○,○,うさぎ,○,,,,11,3
1,32,GPT-2,うさぎ,ぎ,銀河,1678,○,○,ぎんが,○,,,,11,3
1,33,GPT-2,銀河,が,学校,2172,○,○,がっこう,○,,,,11,3
1,34,GPT-2,学校,う,海,1742,○,○,うみ,○,,,,11,3
1,35,GPT-1,海,み,湖,1853,○,○,みずうみ,○,,,,11,3
1,36,GPT-1,湖,み,水着,2436,○,○,みずぎ,○,,,,11,3
1,37,GPT-1,水着,ぎ,ギター,1572,○,○,ぎたー,○,,,,11,3
1,38,GPT-2,ギター,あ,朝,1918,○,○,あさ,○,,,,11,3
1,39,GPT-2,朝,さ,財布,2166,○,○,さいふ,○,,,,11,3
1,40,GPT-2,財布,ふ,船,1793,○,○,ふな,○,,,,11,3
1,41,GPT-1,船,な,なす,2148,○,○,なす,○,,,,11,3
1,42,GPT-1,なす,す,すずめ,1504,○,○,すずめ,○,,,,11,3
1,43,GPT-2,すずめ,め,めだか,1936,○,○,めだか,○,,,,11,3
1,44,GPT-2,めだか,か,カメラ,2199,○,○,かめら,○,,,,11,3
1,45,GPT-2,カメラ,ら,ラクダ,3184,○,○,らくだ,○,,,,11,3
1,46,GPT-1,ラクダ,だ,大学,2367,○,○,だいがく,○,,,,11,3
1,47,GPT-1,大学,く,車,2044,○,○,くるま,○,,,,11,3
1,48,GPT-1,車,ま,まつぼっくり,1993,○,○,まつぼっくり,○,,,,11,3
1,49,GPT-2,まつぼっくり,り,りんご,2855,○,○,りんご,×,既出単語,GPT-1,GPT-2,11,3
2,1,GPT-1,しりとり,り,りんご,1293,○,○,りんご,○,,,,11,3
2,2,GPT-1,りんご,ご,ごま,1403,○,○,ごま,○,,,,11,3
2,3,GPT-1,ごま,ま,まくら,1355,○,○,まくら,○,,,,11,3
2,4,GPT-2,まくら,ら,ラッパ,1401,○,○,らっぱ,○,,,,11,3
2,5,GPT-1,ラッパ,ぱ,パンダ,1681,○,○,ぱんだ,○,,,,11,3
2,6,GPT-1,パンダ,だ,だるま,1663,○,○,だるま,○,,,,11,3
2,7,GPT-1,だるま,ま,まつり,1647,○,○,まつり,○,,,,11,3
2,8,GPT-2,まつり,り,りす,2033,○,○,りす,○,,,,11,3
2,9,GPT-2,りす,す,すいか,1212,○,○,すいか,○,,,,11,3
2,10,GPT-2,すいか,か,カメラ,931,○,○,かめら,○,,,,11,3
2,11,GPT-1,カメラ,ら,ラジオ,2099,○,○,らじお,○,,,,11,3
2,12,GPT-1,ラジオ,お,おにぎり,1525,○,○,おにぎり,○,,,,11,3
2,13,GPT-2,おにぎり,り,料理,1656,○,○,りょうり,○,,,,11,3
2,14,GPT-2,料理,り,理科,2576,○,○,りか,○,,,,11,3
2,15,GPT-2,理科,か,かさ,1690,○,○,かさ,○,,,,11,3
2,16,GPT-1,かさ,さ,さくら,2522,○,○,さくら,○,,,,11,3
2,17,GPT-1,さくら,ら,らくだ,1753,○,○,らくだ,○,,,,11,3
2,18,GPT-2,らくだ,だ,台座,1944,○,○,だいざ,○,,,,11,3
2,19,GPT-2,台座,ざ,雑誌,1554,○,○,ざっし,○,,,,11,3
2,20,GPT-2,雑誌,し,しお,1989,○,○,しお,○,,,,11,3
2,21,GPT-1,しお,お,おと,1442,○,○,おと,○,,,,11,3
2,22,GPT-1,おと,と,時計,1735,○,○,とけい,○,,,,11,3
