ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,律,8274,○,○,りつ,○,,,,51,10
1,2,GPT-1,律,つ,机,1804,○,○,つくえ,○,,,,51,10
1,3,GPT-1,机,え,鉛筆,1763,○,○,えんぴつ,○,,,,51,10
1,4,GPT-1,鉛筆,つ,鶴,4410,○,○,つる,○,,,,51,10
1,5,GPT-2,鶴,る,瑠璃,2425,○,○,るり,○,,,,51,10
1,6,GPT-2,瑠璃,り,理科,1824,○,○,りか,○,,,,51,10
1,7,GPT-2,理科,か,鍵,5546,○,○,かぎ,○,,,,51,10
1,8,GPT-2,鍵,ぎ,銀河,3279,○,○,ぎんが,○,,,,51,10
1,9,GPT-2,銀河,が,蛾,5863,○,○,が,○,,,,51,10
1,10,GPT-2,蛾,が,ガラス,3142,○,○,がらす,○,,,,51,10
1,11,GPT-2,ガラス,す,スープ,7371,○,○,すーぷ,○,,,,51,10
1,12,GPT-1,スープ,ぷ,プール,2051,○,○,ぷーる,○,,,,51,10
1,13,GPT-2,プール,る,ルーペ,5314,○,○,るーぺ,○,,,,51,10
1,14,GPT-2,ルーペ,ぺ,ページ,5899,○,○,ぺーじ,○,,,,51,10
1,15,GPT-2,ページ,じ,磁石,3143,○,○,じしゃく,○,,,,51,10
1,16,GPT-2,磁石,く,靴,3698,○,○,くつ,○,,,,51,10
1,17,GPT-2,靴,つ,つみき,4220,○,×,,×,辞書外,GPT-1,GPT-2,51,10
2,1,GPT-1,しりとり,り,リップ,6310,○,○,りっぷ,○,,,,51,10
2,2,GPT-1,リップ,ぷ,プール,1494,○,○,ぷーる,○,,,,51,10
2,3,GPT-2,プール,る,留守,2766,○,○,るす,○,,,,51,10
2,4,GPT-2,留守,す,スープ,4709,○,○,すーぷ,○,,,,51,10
2,5,GPT-1,スープ,ぷ,プラス,2670,○,○,ぷらす,○,,,,51,10
2,6,GPT-1,プラス,す,スイカ,6727,○,○,すいか,○,,,,51,10
2,7,GPT-1,スイカ,か,カメラ,3721,○,○,かめら,○,,,,51,10
2,8,GPT-1,カメラ,ら,ラジオ,2889,○,○,らじお,○,,,,51,10
2,9,GPT-1,ラジオ,お,おにぎり,1890,○,○,おにぎり,○,,,,51,10
2,10,GPT-1,おにぎり,り,リス,4078,○,○,りす,○,,,,51,10
2,11,GPT-1,リス,す,スリッパ,5248,○,○,すりっぱ,○,,,,51,10
2,12,GPT-1,スリッパ,ぱ,パイプ,5359,○,○,ぱいぷ,○,,,,51,10
2,13,GPT-1,パイプ,ぷ,プラグ,2706,○,○,ぷらぐ,○,,,,51,10
2,14,GPT-1,プラグ,ぐ,グミ,2142,○,○,ぐみ,○,,,,51,10
2,15,GPT-2,グミ,み,水,1937,○,○,みず,○,,,,51,10
2,16,GPT-2,水,ず,頭蓋,3387,○,○,ずがい,○,,,,51,10
2,17,GPT-2,頭蓋,い,椅子,4088,○,○,いす,○,,,,51,10
2,18,GPT-2,椅子,す,すみれ,5394,○,○,すみれ,○,,,,51,10
2,19,GPT-2,すみれ,れ,冷蔵庫,3120,×,×,,×,辞書外,GPT-1,GPT-2,51,10
3,1,GPT-1,しりとり,り,リンゴ,2014,○,○,りんご,○,,,,51,10
3,2,GPT-1,リンゴ,ご,ごま,2203,○,○,ごま,○,,,,51,10
3,3,GPT-1,ごま,ま,まくら,3665,○,○,まくら,○,,,,51,10
3,4,GPT-1,まくら,ら,ラップ,4465,○,○,らっぷ,○,,,,51,10
3,5,GPT-2,ラップ,ぷ,プール,1734,○,○,ぷーる,○,,,,51,10
3,6,GPT-2,プール,る,ルビー,2707,○,○,るびー,○,,,,51,10
3,7,GPT-2,ルビー,い,いす,5791,○,○,いす,○,,,,51,10
3,8,GPT-2,いす,す,すずめ,2144,○,○,すずめ,○,,,,51,10
3,9,GPT-2,すずめ,め,めかぶ,4629,○,○,めかぶ,○,,,,51,10
3,10,GPT-2,めかぶ,ぶ,ぶどう,2258,○,○,ぶどう,○,,,,51,10
