ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,3440,○,○,りんご,○,,,,11,10
1,2,GPT-1,りんご,ご,ごま,1471,○,○,ごま,○,,,,11,10
1,3,GPT-1,ごま,ま,まくら,1934,○,○,まくら,○,,,,11,10
1,4,GPT-1,まくら,ら,ラッパ,1616,○,○,らっぱ,○,,,,11,10
1,5,GPT-1,ラッパ,ぱ,パンダ,1342,○,○,ぱんだ,○,,,,11,10
1,6,GPT-1,パンダ,だ,台所,1605,○,○,だいどころ,○,,,,11,10
1,7,GPT-1,台所,ろ,ろうそく,1388,○,○,ろうそく,○,,,,11,10
1,8,GPT-1,ろうそく,く,くつ,1421,○,○,くつ,○,,,,11,10
1,9,GPT-2,くつ,つ,つみき,1989,○,×,,×,辞書外,GPT-1,GPT-2,11,10
2,1,GPT-1,しりとり,り,りんご,1706,○,○,りんご,○,,,,11,10
2,2,GPT-2,りんご,ご,ごま,1719,○,○,ごま,○,,,,11,10
2,3,GPT-2,ごま,ま,まくら,1462,○,○,まくら,○,,,,11,10
2,4,GPT-2,まくら,ら,ラジオ,1521,○,○,らじお,○,,,,11,10
2,5,GPT-2,ラジオ,お,おにぎり,1474,○,○,おにぎり,○,,,,11,10
2,6,GPT-2,おにぎり,り,りす,1444,○,○,りす,○,,,,11,10
2,7,GPT-2,りす,す,すいか,1653,○,○,すいか,○,,,,11,10
2,8,GPT-2,すいか,か,かさ,1548,○,○,かさ,○,,,,11,10
2,9,GPT-2,かさ,さ,さくら,1622,○,○,さくら,○,,,,11,10
2,10,GPT-2,さくら,ら,ラッパ,5917,○,○,らっぱ,○,,,,11,10
2,11,GPT-2,ラッパ,ぱ,パンダ,1329,○,○,ぱんだ,○,,,,11,10
2,12,GPT-1,パンダ,だ,だるま,1963,○,○,だるま,○,,,,11,10
2,13,GPT-1,だるま,ま,まつり,2290,○,○,まつり,○,,,,11,10
2,14,GPT-1,まつり,り,料理,2207,○,○,りょうり,○,,,,11,10
2,15,GPT-1,料理,り,旅行,1543,○,○,りょこう,○,,,,11,10
2,16,GPT-1,旅行,う,うさぎ,1656,○,○,うさぎ,○,,,,11,10
2,17,GPT-1,うさぎ,ぎ,銀河,1520,○,○,ぎんが,○,,,,11,10
2,18,GPT-1,銀河,が,がく,1829,○,○,がく,○,,,,11,10
2,19,GPT-1,がく,く,くじら,1445,○,○,くじら,○,,,,11,10
2,20,GPT-1,くじら,ら,らくだ,1585,○,○,らくだ,○,,,,11,10
2,21,GPT-2,らくだ,だ,台所,1832,○,○,だいどころ,○,,,,11,10
2,22,GPT-2,台所,ろ,ロケット,1712,○,○,ろけっと,○,,,,11,10
2,23,GPT-2,ロケット,と,時計,1801,○,○,とけい,○,,,,11,10
2,24,GPT-2,時計,い,いす,1634,○,○,いす,○,,,,11,10
2,25,GPT-2,いす,す,すずめ,1342,○,○,すずめ,○,,,,11,10
2,26,GPT-2,すずめ,め,めがね,1543,○,○,めがね,○,,,,11,10
2,27,GPT-2,めがね,ね,ねこ,1461,○,○,ねこ,○,,,,11,10
2,28,GPT-2,ねこ,こ,こたつ,2071,○,○,こたつ,○,,,,11,10
