1,1,GPT-1,しりとり,り,りんご,4659,○,○,りんご,○,,,,30,10
1,2,GPT-1,りんご,ご,ごま,2618,○,○,ごま,○,,,,30,10
1,3,GPT-1,ごま,ま,まくら,2825,○,○,まくら,○,,,,30,10
1,4,GPT-1,まくら,ら,らっぱ,5112,○,○,らっぱ,○,,,,30,10
1,5,GPT-1,らっぱ,ぱ,パンダ,1625,○,○,ぱんだ,○,,,,30,10
1,6,GPT-1,パンダ,だ,団子,2056,○,○,だんご,○,,,,30,10
1,7,GPT-1,団子,ご,ごぼう,2951,○,○,ごぼう,○,,,,30,10
1,8,GPT-1,ごぼう,う,うさぎ,1942,○,○,うさぎ,○,,,,30,10
1,9,GPT-1,うさぎ,ぎ,銀河,2391,○,○,ぎんが,○,,,,30,10
1,10,GPT-2,銀河,が,蛾,1916,○,○,が,○,,,,30,10
1,11,GPT-2,蛾,が,ガス,1678,○,○,がす,○,,,,30,10
1,12,GPT-2,ガス,す,すいか,2698,○,○,すいか,○,,,,30,10
1,13,GPT-2,すいか,か,かき,2948,○,○,かき,○,,,,30,10
1,14,GPT-2,かき,き,きのこ,3088,○,○,きのこ,○,,,,30,10
1,15,GPT-2,きのこ,こ,こたつ,2584,○,○,こたつ,○,,,,30,10
1,16,GPT-2,こたつ,つ,つくえ,2525,○,○,つくえ,○,,,,30,10
1,17,GPT-2,つくえ,え,駅,3402,○,○,えき,○,,,,30,10
1,18,GPT-2,駅,き,きつね,2316,○,○,きつね,○,,,,30,10
1,19,GPT-2,きつね,ね,ねこ,2054,○,○,ねこ,○,,,,30,10
1,20,GPT-1,ねこ,こ,こま,2272,○,○,こま,○,,,,30,10
1,21,GPT-1,こま,ま,まめ,2218,○,○,まめ,○,,,,30,10
1,22,GPT-1,まめ,め,めだか,1855,○,○,めだか,○,,,,30,10
1,23,GPT-1,めだか,か,かえる,2554,○,○,かえる,○,,,,30,10
1,24,GPT-1,かえる,る,留守,2277,○,○,るす,○,,,,30,10
1,25,GPT-1,留守,す,すみれ,4274,○,○,すみれ,○,,,,30,10
1,26,GPT-1,すみれ,れ,れんげ,3959,○,○,れんげ,○,,,,30,10
1,27,GPT-1,れんげ,げ,下駄,1693,○,○,げた,○,,,,30,10
1,28,GPT-1,下駄,た,たぬき,1651,○,○,たぬき,○,,,,30,10
1,29,GPT-1,たぬき,き,きつつき,2384,○,○,きつつき,○,,,,30,10
1,30,GPT-2,きつつき,き,きもの,1987,○,○,きもの,○,,,,30,10
1,31,GPT-2,きもの,の,のり,1885,○,○,のり,○,,,,30,10
1,32,GPT-2,のり,り,りす,3192,○,○,りす,○,,,,30,10
1,33,GPT-2,りす,す,すずめ,3878,○,○,すずめ,○,,,,30,10
1,34,GPT-2,すずめ,め,めがね,3167,○,○,めがね,○,,,,30,10
1,35,GPT-2,めがね,ね,ねずみ,2563,○,○,ねずみ,○,,,,30,10
1,36,GPT-2,ねずみ,み,みみず,2827,○,○,みみず,○,,,,30,10
1,37,GPT-2,みみず,ず,ずこう,2660,○,○,ずこう,○,,,,30,10
1,38,GPT-2,ずこう,う,うちわ,4575,○,○,うちわ,○,,,,30,10
1,39,GPT-2,うちわ,わ,わさび,1814,○,○,わさび,○,,,,30,10
1,40,GPT-1,わさび,び,ビール,5454,○,○,びーる,○,,,,30,10
1,41,GPT-2,ビール,る,ルビー,2699,○,○,るびー,○,,,,30,10
1,42,GPT-2,ルビー,い,いちご,1947,○,○,いちご,○,,,,30,10
