ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,2945,○,○,りんご,○,,,,11,10
1,2,GPT-1,りんご,ご,ごま,1383,○,○,ごま,○,,,,11,10
1,3,GPT-1,ごま,ま,まくら,1740,○,○,まくら,○,,,,11,10
1,4,GPT-1,まくら,ら,ラジオ,2535,○,○,らじお,○,,,,11,10
1,5,GPT-1,ラジオ,お,おにぎり,2083,○,○,おにぎり,○,,,,11,10
1,6,GPT-1,おにぎり,り,リス,1682,○,○,りす,○,,,,11,10
1,7,GPT-1,リス,す,スイカ,2194,○,○,すいか,○,,,,11,10
1,8,GPT-1,スイカ,か,かさ,1844,○,○,かさ,○,,,,11,10
1,9,GPT-1,かさ,さ,さくら,1535,○,○,さくら,○,,,,11,10
1,10,GPT-1,さくら,ら,ランプ,2348,○,○,らんぷ,○,,,,11,10
1,11,GPT-2,ランプ,ぷ,プール,2028,○,○,ぷーる,○,,,,11,10
1,12,GPT-2,プール,る,ルビー,1965,○,○,るびー,○,,,,11,10
1,13,GPT-2,ルビー,い,いす,1639,○,○,いす,○,,,,11,10
1,14,GPT-2,いす,す,すずめ,2570,○,○,すずめ,○,,,,11,10
1,15,GPT-2,すずめ,め,めだか,1497,○,○,めだか,○,,,,11,10
1,16,GPT-2,めだか,か,かめ,1560,○,○,かめ,○,,,,11,10
1,17,GPT-2,かめ,め,めがね,1499,○,○,めがね,○,,,,11,10
1,18,GPT-2,めがね,ね,ねこ,1876,○,○,ねこ,○,,,,11,10
1,19,GPT-2,ねこ,こ,こたつ,1639,○,○,こたつ,○,,,,11,10
1,20,GPT-2,こたつ,つ,つくえ,1329,○,○,つくえ,○,,,,11,10
1,21,GPT-1,つくえ,え,鉛筆,1843,○,○,えんぴつ,○,,,,11,10
1,22,GPT-1,鉛筆,つ,つばき,2455,○,○,つばき,○,,,,11,10
1,23,GPT-1,つばき,き,きつね,1944,○,○,きつね,○,,,,11,10
1,24,GPT-1,きつね,ね,ねぎ,2250,○,○,ねぎ,○,,,,11,10
1,25,GPT-1,ねぎ,ぎ,ギター,1533,○,○,ぎたー,○,,,,11,10
1,26,GPT-1,ギター,あ,あさ,1742,○,○,あさ,○,,,,11,10
1,27,GPT-1,あさ,さ,さかな,2145,○,○,さかな,○,,,,11,10
1,28,GPT-1,さかな,な,なす,2460,○,○,なす,○,,,,11,10
1,29,GPT-1,なす,す,すみれ,1584,○,○,すみれ,○,,,,11,10
1,30,GPT-1,すみれ,れ,れんげ,1280,○,○,れんげ,○,,,,11,10
1,31,GPT-2,れんげ,げ,げた,1636,○,○,げた,○,,,,11,10
1,32,GPT-2,げた,た,たぬき,1947,○,○,たぬき,○,,,,11,10
1,33,GPT-2,たぬき,き,きのこ,1637,○,○,きのこ,○,,,,11,10
1,34,GPT-2,きのこ,こ,こま,2456,○,○,こま,○,,,,11,10
1,35,GPT-2,こま,ま,マスク,3889,○,○,ますく,○,,,,11,10
1,36,GPT-2,マスク,く,くじら,1601,○,○,くじら,○,,,,11,10
1,37,GPT-2,くじら,ら,ラッパ,1775,○,○,らっぱ,○,,,,11,10
1,38,GPT-2,ラッパ,ぱ,パンダ,1645,○,○,ぱんだ,○,,,,11,10
1,39,GPT-2,パンダ,だ,だるま,1732,○,○,だるま,○,,,,11,10
1,40,GPT-2,だるま,ま,まど,1945,○,○,まど,○,,,,11,10
1,41,GPT-1,まど,ど,どんぐり,1599,○,○,どんぐり,○,,,,11,10
1,42,GPT-1,どんぐり,り,リュック,2805,○,○,りゅっく,○,,,,11,10
1,43,GPT-1,リュック,く,くも,1533,○,○,くも,○,,,,11,10
1,44,GPT-1,くも,も,もみじ,2148,○,○,もみじ,○,,,,11,10
