ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数
1,1,GPT-1,しりとり,り,りんご,3679,○,○,りんご,○,,,,11,1
1,2,GPT-2,りんご,ご,ごま񎟂,1455,○,×,,×,辞書外,GPT-1,GPT-2,11,1
2,1,GPT-1,しりとり,り,りんご,1456,○,○,りんご,○,,,,11,1
2,2,GPT-2,りんご,ご,ごま,1545,○,○,ごま,○,,,,11,1
2,3,GPT-1,ごま,ま,まくら,2309,○,○,まくら,○,,,,11,1
2,4,GPT-2,まくら,ら,ラッパ,1674,○,○,らっぱ,○,,,,11,1
2,5,GPT-1,ラッパ,ぱ,パンダ,2337,○,○,ぱんだ,○,,,,11,1
2,6,GPT-2,パンダ,だ,大豆,1980,○,○,だいず,○,,,,11,1
2,7,GPT-1,大豆,ず,ズッキーニ,2140,○,○,ずっきーに,○,,,,11,1
2,8,GPT-2,ズッキーニ,に,虹,1520,○,○,にじ,○,,,,11,1
2,9,GPT-1,虹,じ,辞書,1643,○,○,じしょ,○,,,,11,1
2,10,GPT-2,辞書,よ,ヨット,1121,○,○,よっと,○,,,,11,1
2,11,GPT-1,ヨット,と,時計,1226,○,○,とけい,○,,,,11,1
2,12,GPT-2,時計,い,椅子,3073,○,○,いす,○,,,,11,1
2,13,GPT-1,椅子,す,スイカ,1397,○,○,すいか,○,,,,11,1
2,14,GPT-2,スイカ,か,カメラ,1793,○,○,かめら,○,,,,11,1
2,15,GPT-1,カメラ,ら,ラジオ,1824,○,○,らじお,○,,,,11,1
2,16,GPT-2,ラジオ,お,おにぎり,3042,○,○,おにぎり,○,,,,11,1
2,17,GPT-1,おにぎり,り,りす,1393,○,○,りす,○,,,,11,1
2,18,GPT-2,りす,す,スープ,2215,○,○,すーぷ,○,,,,11,1
2,19,GPT-1,スープ,ぷ,プール,1898,○,○,ぷーる,○,,,,11,1
2,20,GPT-2,プール,る,留守,1789,○,○,るす,○,,,,11,1
2,21,GPT-1,留守,す,すずめ,2294,○,○,すずめ,○,,,,11,1
2,22,GPT-2,すずめ,め,めがね,2780,○,○,めがね,○,,,,11,1
2,23,GPT-1,めがね,ね,ネクタイ,1418,○,○,ねくたい,○,,,,11,1
2,24,GPT-2,ネクタイ,い,椅子,1137,○,○,いす,×,既出単語,GPT-1,GPT-2,11,1
3,1,GPT-1,しりとり,り,りんご,1584,○,○,りんご,○,,,,11,1
3,2,GPT-2,りんご,ご,ごま,1607,○,○,ごま,○,,,,11,1
