ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数,禁止語尾,情報開示強度,得点,累計得点,推測・理由
1,1,GPT-1-3,,a,aeeeee,6448,○,○,aeeeee,○,,,,250,1,d,3,6,6,aで始まり、禁止語尾のdを避けつつ、eを多く含めて得点を最大化しました。
1,2,GPT-2-1,aeeeee,e,eeeeee,4761,○,○,eeeeee,○,,,,250,1,d,1,6,6,eから始まり、禁止語尾のdを避けつつ、既出語ではないため。
1,3,GPT-1-3,eeeeee,e,eeeeea,7824,○,○,eeeeea,○,,,,250,1,d,3,6,12,既出語を避けつつ、eを多くして高得点を狙った。
1,4,GPT-2-1,eeeeea,a,aeeeec,4330,○,○,aeeeec,○,,,,250,1,d,1,5,11,未使用でaから始まり、禁止語尾dを避けつつ高得点になる語を選択しました。
1,5,GPT-1-3,aeeeec,c,ceeeee,4124,○,○,ceeeee,○,,,,250,1,d,3,6,18,
1,6,GPT-2-1,ceeeee,e,eeeeec,5366,○,○,eeeeec,○,,,,250,1,d,1,6,17,eで始まり、既出語と禁止語尾dを避けつつ、得点を高められると推測しました。
1,7,GPT-1-3,eeeeec,c,ceeeec,3793,○,○,ceeeec,○,,,,250,1,d,3,6,24,未使用でcから始まり、禁止語尾dを避けつつ、eを多く含めて高得点を狙えるため。
1,8,GPT-2-1,ceeeec,c,ceeeeb,4669,○,○,ceeeeb,○,,,,250,1,d,1,5,22,
1,9,GPT-1-3,ceeeeb,b,beeeee,5588,○,○,beeeee,○,,,,250,1,d,3,6,30,bで始まり、既出語ではなく、禁止語尾dでもないため。
1,10,GPT-2-1,beeeee,e,eeeeeb,6370,○,○,eeeeeb,○,,,,250,1,d,1,6,28,既出語ではなく、禁止語尾dでもないためです。
1,11,GPT-1-3,eeeeeb,b,beeeea,4160,○,○,beeeea,○,,,,250,1,d,3,5,35,
1,12,GPT-2-1,beeeea,a,aeeeeb,6078,○,○,aeeeeb,○,,,,250,1,d,1,5,33,aで始まり、未使用かつ禁止語尾でない中で、高得点になる組み合わせを選択しました。
1,13,GPT-1-3,aeeeeb,b,beeeec,4331,○,○,beeeec,○,,,,250,1,d,3,5,40,
1,14,GPT-2-1,beeeec,c,ceeeea,3688,○,○,ceeeea,○,,,,250,1,d,1,5,38,未使用でcから始まり、禁止語尾dを避けつつ、eを多く含むため高得点が期待できます。
1,15,GPT-1-3,ceeeea,a,aeeeea,5487,○,○,aeeeea,○,,,,250,1,d,3,5,45,
1,16,GPT-2-1,aeeeea,a,aeeede,8308,○,○,aeeede,○,,,,250,1,d,1,5,43,未使用で禁止語尾ではなく、現時点で最大級の合計値になるため。
1,17,GPT-1-3,aeeede,e,eeeeae,3893,○,○,eeeeae,○,,,,250,1,d,3,6,51,
1,18,GPT-2-1,eeeeae,e,ee eece,7369,×,×,,×,辞書外,GPT-1-3,GPT-2-1,250,1,d,1,0,43,ｅで始まり、禁止語尾のｄを避けつつ、未出で高得点になる語を選択しました。
2,1,GPT-1-3,,a,aeeeee,4617,○,○,aeeeee,○,,,,250,1,d,3,6,6,禁止語尾がdのため、aで始まりeで終わる語を選択しました。
2,2,GPT-2-1,aeeeee,e,eeeeee,4100,○,○,eeeeee,○,,,,250,1,d,1,6,6,未使用で、指定文字eから始まり、禁止語尾dを避けられるため。
2,3,GPT-1-3,eeeeee,e,eeeeeb,3700,○,○,eeeeeb,○,,,,250,1,d,3,6,12,
