ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数,禁止語尾,情報開示強度,得点,累計得点,推測・理由
1,1,GPT-1-3,,a,aaaaaa,9666,○,○,aaaaaa,○,,,,222,1,d,3,3,3,
1,2,GPT-2-1,aaaaaa,a,abacbe,3874,○,○,abacbe,○,,,,222,1,d,1,4,4,得点情報がないため、文字の点数式は推測できません。
1,3,GPT-1-3,abacbe,e,eaaaaa,5301,○,○,eaaaaa,○,,,,222,1,d,3,4,7,各文字に対応する点数の合計と考えられます。aaaaaaが3点のため、aは1文字あたり0.5点と推測できます。
1,4,GPT-2-1,eaaaaa,a,aaaaab,5475,○,○,aaaaab,○,,,,222,1,d,1,3,7,abacbeが4点だったため、各文字の点数を文字ごとに加算する方式と仮定します。ただし、現時点では各文字の点数を一意に特定できません。
1,5,GPT-1-3,aaaaab,b,bbbbbb,7243,○,○,bbbbbb,○,,,,222,1,d,3,4,11,得点は末尾の文字に対応する点数が強く影響すると仮説します。末尾がaとbの語は3点、末尾がeの語は4点でした。
1,6,GPT-2-1,bbbbbb,b,baaaaa,3773,○,○,baaaaa,○,,,,222,1,d,1,3,10,各文字の点数の合計または位置別の加重和と推測します。aaaaabが3点のため、aとbには異なる点数が設定されている可能性があります。
1,7,GPT-1-3,baaaaa,a,abcdea,9838,○,○,abcdea,○,,,,222,1,d,3,4,15,点数は各文字の対応点の合計に基づくと考えられます。aaaaaaとbbbbbbの差から、文字ごとに異なる点数が設定されていると推測します。
1,8,GPT-2-1,abcdea,a,acaaaa,4271,○,○,acaaaa,○,,,,222,1,d,1,3,13,文字ごとの点数を合計する数式と推測します。baaaaaが3点だったため、bの点数が3点で、aは0点である可能性があります。
1,9,GPT-1-3,acaaaa,a,aaaaac,10243,○,○,aaaaac,○,,,,222,1,d,3,3,18,得点は文字の種類と配置の組み合わせで決まり、単純な文字数や合計ではないと推測します。a中心の語は3点が多く、bやeを含む特定配置では4点になっているためです。
1,10,GPT-2-1,aaaaac,c,caaaaa,2822,○,○,caaaaa,○,,,,222,1,d,1,3,16,文字ごとの点数の合計と推測。acaaaaはaが4個、cが1個で3点のため、aとcの点数の合計が3点になる仮説。
1,11,GPT-1-3,caaaaa,a,aaaaae,8774,○,○,aaaaae,○,,,,222,1,d,3,4,22,各文字に対応する点数の合計ではなく、文字の種類や配置に基づく数式と推測する。aaaaaa・aaaaab・aaaaac・caaaaa・baaaaaが3点で、eを含むeaaaaaや複数種類の語が4点であるため。
1,12,GPT-2-1,aaaaae,e,eaaaab,8355,○,○,eaaaab,○,,,,222,1,d,1,4,20,得点は各文字に対応する点数の合計で、先頭のcに3点が割り当てられている可能性があります。
1,13,GPT-1-3,eaaaab,b,baaaac,6595,○,○,baaaac,○,,,,222,1,d,3,3,25,点数は文字の種類に対応し、a・cは3点、b・eは4点として、語中の最高点が得点になる仮説です。
1,14,GPT-2-1,baaaac,c,caaaab,5921,○,○,caaaab,○,,,,222,1,d,1,3,23,文字ごとの点数を加算する式と仮定すると、「eaaaab」が4点であることから、aは0点、bは1点、eは3点などの可能性があるため。
1,15,GPT-1-3,caaaab,b,baaaab,6539,○,○,baaaab,○,,,,222,1,d,3,3,28,単語中の文字の種類や配置が得点に影響し、eを含む場合は4点になりやすい一方、a・b・cのみでは3点が多いと推測します。
1,16,GPT-2-1,baaaab,b,bbaaaa,5771,○,○,bbaaaa,○,,,,222,1,d,1,3,26,各文字をa=0、b=1、c=2、d=3、e=4とする合計点と推測します。caaaabは2+0+0+0+0+1=3となり、得点と一致するためです。
1,17,GPT-1-3,bbaaaa,a,aaabaa,11602,○,○,aaabaa,○,,,,222,1,d,3,3,31,a・b中心の語は3点になりやすく、未使用の組み合わせを選択しました。
1,18,GPT-2-1,aaabaa,a,aaaaba,6303,○,○,aaaaba,○,,,,222,1,d,1,3,29,各文字に固有点を割り当てて合計する数式と仮定する。bbaaaaが3点なので、bとaの点の組み合わせが3になると考えられる。
1,19,GPT-1-3,aaaaba,a,aabaaa,6254,○,○,aabaaa,○,,,,222,1,d,3,3,34,aとbとcは基本的に3点で、eを含む場合や複数の異なる文字を含む場合は4点になる仮説です。aabaaaは既出語ではなく、aとbのみのため3点と推測します。
1,20,GPT-2-1,aabaaa,a,aaaaab,4853,○,○,aaaaab,×,既出単語,GPT-1-3,GPT-2-1,222,1,d,1,0,29,各文字の点数を加算する方式と仮定しました。aaaaabは未使用で、次に必要なaから始まり、禁止語尾dでもありません。
1,1,GPT-1-3,,a,accede,6307,○,○,accede,○,,,,222,1,d,3,5,5,得点情報がないため、文字ごとの点数を推測できません。
1,2,GPT-2-1,accede,e,eaceae,9875,○,○,eaceae,○,,,,222,1,d,1,5,5,得点情報がないため数式は特定できません。利用可能な文字だけで「e」から始まる6文字の語を選びました。
1,3,GPT-1-3,eaceae,e,eeeeee,8874,○,○,eeeeee,○,,,,222,1,d,3,6,11,両履歴の得点が同じ5点であるため、各文字の合計ではなく、文字の種類数や重複を用いる数式の可能性があります。
1,4,GPT-2-1,eeeeee,e,eababa,6853,○,○,eababa,○,,,,222,1,d,1,4,9,各文字に固有の点数があり、単語内の文字の合計または出現位置に基づいて得点が算出されると推測します。直前の「eaceae」が5点だったため、文字ごとの点数の単純合計だけではなく、重複や位置も関係する可能性があります。
1,5,GPT-1-3,eababa,a,aaaaaa,5978,○,○,aaaaaa,○,,,,222,1,d,3,3,14,各文字の点数を合計する方式で、e＝1、a＝1、b＝0、c＝0、d＝1と推測します。既存の得点と一致します。
1,6,GPT-2-1,aaaaaa,a,ababab,5622,○,○,ababab,○,,,,222,1,d,1,3,12,各文字にa=0、b=1、c=2、d=3、e=4を割り当て、合計値を一定の規則で換算していると仮説しました。eababaは文字の値の合計が6で、得点4になるためです。
1,7,GPT-1-3,ababab,b,bccccc,8736,○,○,bccccc,○,,,,222,1,d,3,5,19,各文字の点数をa=0.5、b=0.5、c=1、d=0.5、e=1とする加算式と推測しました。既出語を避け、bから始まりd以外で終わる語として選択しました。
1,8,GPT-2-1,bccccc,c,cccccc,3785,○,○,cccccc,○,,,,222,1,d,1,5,17,文字ごとの点数をa=0、b=1、c=2、d=3、e=4とする総和式と仮定します。「ababab」はbが3個あるため3点と一致します。
1,9,GPT-1-3,cccccc,c,ccccce,9054,○,○,ccccce,○,,,,222,1,d,3,5,24,同一文字の反復ではaが3点、cが5点、eが6点であり、文字ごとの固有点を基に算出されると推測しました。未使用でcから始まり、禁止語尾dを避けるためccccceを選びました。
1,10,GPT-2-1,ccccce,e,eaaaaa,6445,○,○,eaaaaa,○,,,,222,1,d,1,4,21,ccccccが5点だったため、各文字の点数を合計する方式で、cの点数は約1点だと仮説します。
1,11,GPT-1-3,eaaaaa,a,abbbbb,10542,○,○,abbbbb,○,,,,222,1,d,3,4,28,各文字に固有点があり、語中の文字の種類や配置によって合計点が決まる仮説です。同じ文字だけの語でも得点が異なるため、単純な文字数ではないと考えられます。
1,12,GPT-2-1,abbbbb,b,baaaaa,5594,○,○,baaaaa,○,,,,222,1,d,1,3,24,各文字にa=0、b=1、c=2、d=3、e=4の点数を割り当て、合計する数式だと推測します。eaaaaaが4点であることと一致します。
1,13,GPT-1-3,baaaaa,a,aabcde,13683,○,○,aabcde,○,,,,222,1,d,3,4,32,各文字におよそa=3、b=4、c=5、e=6の点を割り当て、6文字の平均を四捨五入した得点と推測します。既出語ではこの仮説と得点が概ね一致します。
1,14,GPT-2-1,aabcde,e,eabcde,5420,○,○,eabcde,○,,,,222,1,d,1,5,29,文字の点数は各文字の出現位置や組み合わせに基づく式で決まり、baaaaaが3点だったことから、先頭文字の重みと同一文字の連続による補正があると推測します。
1,15,GPT-1-3,eabcde,e,ebbbbb,12219,○,○,ebbbbb,○,,,,222,1,d,3,4,36,各文字にa=3、b=4、c=5、e=6の点数を割り当て、6文字の平均値を基に得点化している可能性があります。
1,16,GPT-2-1,ebbbbb,b,bbbbbb,4919,○,○,bbbbbb,○,,,,222,1,d,1,4,33,文字ごとの点数を合計する方式と仮定すると、eabcdeの5点は各文字の点数の合計として説明できます。
1,17,GPT-1-3,bbbbbb,b,bbaaaa,16730,○,○,bbaaaa,○,,,,222,1,d,3,3,39,各文字に対応する点数の平均を基準に、語全体の得点が算出される仮説です。aaaaaa、bbbbbb、cccccc、eeeeeeの得点が文字ごとの基準値に対応し、混在語も各文字の構成に応じて変化しているためです。
1,18,GPT-2-1,bbaaaa,a,aaaaab,3814,○,○,aaaaab,○,,,,222,1,d,1,3,36,bbbbbbが4点だったため、各文字の点数の合計または積に基づく数式と推測します。
1,19,GPT-1-3,aaaaab,b,bcdeaa,25178,○,○,bcdeaa,○,,,,222,1,d,3,4,43,各文字の点数の平均を四捨五入しており、a・b・c・eはそれぞれ3・4・5・6点、dは5点前後と推測。
1,20,GPT-2-1,bcdeaa,a,abacde,5902,○,○,abacde,○,,,,222,1,d,1,4,40,aaaaabが3点だったため、文字ごとの点数を合計する方式ではなく、位置や並びを含む数式で得点が決まると推測します。
1,21,GPT-1-3,abacde,e,eaaaae,12785,○,○,eaaaae,○,,,,222,1,d,3,4,47,文字ごとの点数をa=0.5、b=0.625、c=0.75、d=0.875、e=1とし、合計を四捨五入した値が得点になると考えられます。既出語を避け、eから始まりd以外で終わる未使用語を選びました。
1,22,GPT-2-1,eaaaae,e,eacaca,5559,○,○,eacaca,○,,,,222,1,d,1,4,44,各文字に固有の点数があり、単語内の文字位置や出現回数を用いて合計する数式と推測します。直前の「abacde」が4点ですが、他の得点情報がないため、具体的な係数までは特定できません。
1,23,GPT-1-3,eacaca,a,aeeeee,10778,○,○,aeeeee,○,,,,222,1,d,3,6,53,各文字に対応する点数をa=3、b=4、c=5、e=6とし、6文字の平均点を四捨五入した値が得点になると推測します。
1,24,GPT-2-1,aeeeee,e,eacabe,5560,○,○,eacabe,○,,,,222,1,d,1,5,49,各文字に固有点を割り当てて合計する式と仮説。eacacaが4点だったため、文字ごとの点数の合計と推測。
1,25,GPT-1-3,eacabe,e,eaaaee,11723,○,○,eaaaee,○,,,,222,1,d,3,5,58,各文字に点数を割り当てて平均し、四捨五入して得点化していると推測します。aaaaaaが3点、bbbbbbが4点、ccccccが5点、eeeeeeが6点であり、混在語の得点もこの平均と整合します。
1,26,GPT-2-1,eaaaee,e,eaaabe,7347,○,○,eaaabe,○,,,,222,1,d,1,4,53,各文字に対応する点数を合計して得点を算出する数式だと仮説します。eacabeの得点が5点であるためです。
1,27,GPT-1-3,eaaabe,e,eeeee a,14208,×,×,,×,辞書外,GPT-2-1,GPT-1-3,222,1,d,3,0,58,各文字の基礎点はa=3、b=4、c=5、e=6に近く、語全体の平均値を丸めた得点と推測します。
2,1,GPT-1-3,,a,aaaaaa,3100,○,○,aaaaaa,○,,,,222,1,d,3,3,3,得点や相手の行動に関する情報がないため、数式は推測できない。
2,2,GPT-2-1,aaaaaa,a,aaaaab,3257,○,○,aaaaab,○,,,,222,1,d,1,3,3,文字ごとの点数や数式は、得点情報がないため推測できません。
2,3,GPT-1-3,aaaaab,b,baaaaa,3504,○,○,baaaaa,○,,,,222,1,d,3,3,6,各文字の点数の合計に基づく可能性が高い。既知の2語はいずれも3点で、異なる末尾でも同点のため、文字位置による加算ではなく文字ごとの点数合計と推測する。
2,4,GPT-2-1,baaaaa,a,aaaaac,3187,○,○,aaaaac,○,,,,222,1,d,1,3,6,各文字に対応する点数の合計と考えると、aaaaabが3点になるにはaの点数とbの点数の組合せが必要です。
2,5,GPT-1-3,aaaaac,c,caaaaa,3340,○,○,caaaaa,○,,,,222,1,d,3,3,9,
2,6,GPT-2-1,caaaaa,a,aaaaba,5551,○,○,aaaaba,○,,,,222,1,d,1,3,9,
2,7,GPT-1-3,aaaaba,a,aaaabb,3561,○,○,aaaabb,○,,,,222,1,d,3,3,12,各文字の点数の合計が3点になる数式と推測します。全履歴で異なる語がすべて3点だったためです。
2,8,GPT-2-1,aaaabb,b,baaaab,4404,○,○,baaaab,○,,,,222,1,d,1,3,12,文字ごとの点数を合計する数式と考えられますが、現時点では「aaaaba」が3点という情報だけでは各文字の点数や計算方法は特定できません。
2,9,GPT-1-3,baaaab,b,baaaac,3578,○,○,baaaac,○,,,,222,1,d,3,3,15,既出語はすべて3点のため、現時点では文字ごとの点数式は特定できず、未使用でbから始まりdで終わらない語を選択した。
2,10,GPT-2-1,baaaac,c,caaaab,5280,○,○,caaaab,○,,,,222,1,d,1,3,15,baaaabが3点だったため、各文字の位置または文字ごとの点数を合算する式だと推測します。
2,11,GPT-1-3,caaaab,b,baaaae,4189,○,○,baaaae,○,,,,222,1,d,3,4,19,文字構成が異なる全履歴で得点が3点に統一されているため、現時点では得点は語に依存せず3点と推測します。
2,12,GPT-2-1,baaaae,e,eaaaaa,3700,○,○,eaaaaa,○,,,,222,1,d,1,4,19,得点は各文字に対応する点数の合計と仮説します。「caaaab」が3点だったためです。
2,13,GPT-1-3,eaaaaa,a,aaaaae,5811,○,○,aaaaae,○,,,,222,1,d,3,4,23,各文字の点数は文字の種類に対応し、a・b・cを含む語は3点、eを含む語は4点になる仮説です。
2,14,GPT-2-1,aaaaae,e,eaaaab,5180,○,○,eaaaab,○,,,,222,1,d,1,4,23,各文字の点数をa=0、b=1、c=2、d=3、e=4とする合計式なら、eaaaaaが4点になるため整合します。
2,15,GPT-1-3,eaaaab,b,baaaba,6402,○,○,baaaba,○,,,,222,1,d,3,3,26,各文字の点数は文字の位置に基づき、語の得点は含まれる文字の最大点で決まると推測します。既出語ではa〜cを含む語が3点、eを含む語が4点でした。
2,16,GPT-2-1,baaaba,a,aaaaca,4639,○,○,aaaaca,○,,,,222,1,d,1,3,26,文字ごとの点数を合計する方式と仮定しましたが、「eaaaab」が4点という情報だけでは各文字の点数を一意に特定できません。
2,17,GPT-1-3,aaaaca,a,aaaace,4175,○,○,aaaace,○,,,,222,1,d,3,4,30,各文字の点数を合計している仮説です。a〜cのみの語は3点、eを含む語は4点となっており、aaaaceも4点と推測します。
2,18,GPT-2-1,aaaace,e,eaaaac,6972,○,○,eaaaac,○,,,,222,1,d,1,4,30,得点は各文字に対応する値の合計で、aaaacaの唯一の非a文字であるcが3点として加算された可能性があります。
2,19,GPT-1-3,eaaaac,c,caa aac,7106,×,×,,×,辞書外,GPT-2-1,GPT-1-3,222,1,d,3,0,30,文字の点数は各文字の出現位置や種類に基づき、合計値を段階的に点数化していると推測します。 a連続では3点、b・cを含む場合も多くは3点ですが、eを含む場合は4点になっています。
