ゲームID,ターン,プレイヤーID,前の単語,要求文字,回答,応答時間_ms,語頭判定,辞書判定,読み,判定,終了理由,勝者ID,敗者ID,プロンプトNo,最大連続回答回数,禁止語尾,情報開示強度,得点,累計得点,推測・理由
1,1,GPT-1-3,,a,ant,4261,○,○,ant,○,,,,221,1,x,3,6,6,情報がないため、文字点は各文字の位置や規則に基づく可能性がある。
1,2,GPT-2-2,ant,t,the,5883,○,○,the,○,,,,221,1,x,2,6,6,仮説として、各文字に固有の点数を割り当てて合計する方式。antの得点が6点だったため。
1,3,GPT-1-3,the,e,ear,4501,○,○,ear,○,,,,221,1,x,3,5,11,antとtheがともに6点のため、各文字の単純な合計ではなく、別の規則に基づく可能性がある。
1,4,GPT-2-2,ear,r,red,4889,○,○,red,○,,,,221,1,x,2,6,12,各文字に固有の点数があり、単語を構成する3文字の点数を合計する方式と推測します。theが6点、earが5点ですが、文字ごとの点数はまだ特定できません。
1,5,GPT-1-3,red,d,dog,4546,○,○,dog,○,,,,221,1,x,3,6,17,文字のアルファベット順や単語ごとの特徴を用いた加算法と推測するが、4例 בלבדでは特定できない。
1,6,GPT-2-2,dog,g,get,5001,○,○,get,○,,,,221,1,x,2,6,18,redとdogがともに6点であるため、単純なアルファベット順ではなく、各文字の形状や発音などに基づく別の点数式だと推測します。
1,7,GPT-1-3,get,t,top,7093,○,○,top,○,,,,221,1,x,3,8,25,
1,8,GPT-2-2,top,p,pen,4086,○,○,pen,○,,,,221,1,x,2,6,24,文字ごとの点数の合計と考えられ、topが8点、getが6点のため、topの文字点合計がgetより2点高い仮説です。
1,9,GPT-1-3,pen,n,net,13818,○,○,net,○,,,,221,1,x,3,7,32,各文字の点数の合計に基づく可能性が高いが、既知の得点だけでは数式を特定できない。
1,10,GPT-2-2,net,t,tea,4809,○,○,tea,○,,,,221,1,x,2,6,30,各文字に固有の点数があり、単語内の3文字の点数を合計する方式と推測します。penが6点、netが7点で異なるためです。
1,11,GPT-1-3,tea,a,ape,9499,○,○,ape,○,,,,221,1,x,3,5,37,得点は各文字の点数の合計と仮定でき、既存データからa=1、e=2、p=2と推定されるため、apeは5点。
1,12,GPT-2-2,ape,e,end,5651,○,○,end,○,,,,221,1,x,2,5,35,単語の得点は各文字に対応する点数の合計と考えられるが、teaが6点、apeが5点という情報だけでは各文字の点数までは特定できない。
1,13,GPT-1-3,end,d,day,14749,○,○,day,○,,,,221,1,x,3,6,43,得点は各文字のアルファベット順を基にした加算式と推測します。語ごとの得点が5～8点に収まり、文字構成の違いに応じて変化しているためです。
1,14,GPT-2-2,day,y,you,3879,○,○,you,○,,,,221,1,x,2,8,43,得点は単語ごとの文字の位置や組み合わせに基づく可能性があるが、endが5点、dayが6点という2例だけでは特定できない。
1,15,GPT-1-3,you,u,urn,2658,○,○,urn,○,,,,221,1,x,3,8,51,
1,16,GPT-2-2,urn,n,new,6044,○,○,new,○,,,,221,1,x,2,7,50,文字ごとの固有点を合計する方式と仮定しましたが、youとurnがともに8点になる情報だけでは特定できません。
1,17,GPT-1-3,new,w,was,7369,○,○,was,○,,,,221,1,x,3,7,58,得点は各文字に対応する点数の合計と推測します。履歴では語ごとに得点が異なり、文字構成との対応が見られるためです。
1,18,GPT-2-2,was,s,sea,5531,○,○,sea,○,,,,221,1,x,2,5,55,文字ごとの固有点の合計または一定の変換値で得点が決まり、newとwasがともに7点のため、単純なアルファベット順の合計ではないと推測します。
1,19,GPT-1-3,sea,a,arm,18020,○,○,arm,○,,,,221,1,x,3,6,64,文字ごとの点数を合計する方式と仮定すると、後半の文字を含む語ほど高得点になる傾向があるため。
1,20,GPT-2-2,arm,m,map,7881,○,○,map,○,,,,221,1,x,2,6,61,得点は各文字に対応する点数の合計と仮定した。seaが5点、armが6点で異なるため、文字ごとに固有の点数が設定されていると推測する。
1,21,GPT-1-3,map,p,pie,19657,○,○,pie,○,,,,221,1,x,3,6,70,語の得点は各文字に対応する点数の合計である可能性が高い。複数の履歴で、語を構成する文字の入れ替えや共通文字から得点差が整合するため。
1,22,GPT-2-2,pie,e,egg,7939,○,○,egg,○,,,,221,1,x,2,5,66,得点は各文字の位置や組合せに基づく数式で、mapとpieが同点のため、単純な文字位置の合計ではないと推測します。
1,23,GPT-1-3,egg,g,gas,6396,○,○,gas,○,,,,221,1,x,3,6,76,各文字に固有の点数を割り当て、その合計で得点が決まると推測します。過去の3文字語の得点が5～8点に分布しているためです。
1,24,GPT-2-2,gas,s,sun,4403,○,○,sun,○,,,,221,1,x,2,8,74,各文字の点数を合計した値が語の得点になると仮定。eggが5点、gasが6点であることから、文字ごとに固有の点数が割り当てられていると推測。
1,25,GPT-1-3,sun,n,now,8700,○,○,now,○,,,,221,1,x,3,8,84,各文字の形状や位置に基づく固有点の合計と推測されますが、履歴だけでは数式を一意に特定できません。
1,26,GPT-2-2,now,w,way,2564,○,○,way,○,,,,221,1,x,2,7,81,sunとnowがともに8点のため、各文字の位置や組み合わせに基づく単純な数式である可能性がある。
